USN,Section,Batch,Sem
1BI21CS001,A,2021,2
1BI21CS002,A,2021,2
1BI21CS003,A,2021,2
1BI21CS004,A,2021,2
1BI21CS005,A,2021,2
1BI21CS006,A,2021,2
1BI21CS007,A,2021,2
1BI21CS009,A,2021,2
1BI21CS010,A,2021,2
1BI21CS011,A,2021,2
1BI21CS012,A,2021,2
1BI21CS013,A,2021,2
1BI21CS014,A,2021,2
1BI21CS015,A,2021,2
1BI21CS016,A,2021,2
1BI21CS018,A,2021,2
1BI21CS019,A,2021,2
1BI21CS020,A,2021,2
1BI21CS021,A,2021,2
1BI21CS023,A,2021,2
1BI21CS024,A,2021,2
1BI21CS025,A,2021,2
1BI21CS026,A,2021,2
1BI21CS027,A,2021,2
1BI21CS029,A,2021,2
1BI21CS031,A,2021,2
1BI21CS032,A,2021,2
1BI21CS033,A,2021,2
1BI21CS035,A,2021,2
1BI21CS036,A,2021,2
1BI21CS037,A,2021,2
1BI21CS039,A,2021,2
1BI21CS040,A,2021,2
1BI21CS041,A,2021,2
1BI21CS042,A,2021,2
1BI21CS043,A,2021,2
1BI21CS044,A,2021,2
1BI21CS046,A,2021,2
1BI21CS047,A,2021,2
1BI21CS048,A,2021,2
1BI21CS049,A,2021,2
1BI21CS050,A,2021,2
1BI21CS051,A,2021,2
1BI21CS052,A,2021,2
1BI21CS053,A,2021,2
1BI21CS054,A,2021,2
1BI21CS056,A,2021,2
1BI21CS057,A,2021,2
1BI21CS059,A,2021,2
1BI21CS062,A,2021,2
1BI21CS063,A,2021,2
FST2110012,A,2021,2
FST2110018,A,2021,2
FST2110039,A,2021,2
FST2110049,A,2021,2
FST2110091,A,2021,2
FST2110205,A,2021,2
FST2110567,A,2021,2
FST2110619,A,2021,2
FST2110793,A,2021,2
1BI21CS064,B,2021,2
1BI21CS066,B,2021,2
1BI21CS068,B,2021,2
1BI21CS069,B,2021,2
1BI21CS070,B,2021,2
1BI21CS071,B,2021,2
1BI21CS072,B,2021,2
1BI21CS073,B,2021,2
1BI21CS074,B,2021,2
1BI21CS076,B,2021,2
1BI21CS077,B,2021,2
1BI21CS078,B,2021,2
1BI21CS079,B,2021,2
1BI21CS082,B,2021,2
1BI21CS083,B,2021,2
1BI21CS084,B,2021,2
1BI21CS085,B,2021,2
1BI21CS086,B,2021,2
1BI21CS087,B,2021,2
1BI21CS088,B,2021,2
1BI21CS089,B,2021,2
1BI21CS090,B,2021,2
1BI21CS091,B,2021,2
1BI21CS092,B,2021,2
1BI21CS093,B,2021,2
1BI21CS094,B,2021,2
1BI21CS095,B,2021,2
1BI21CS097,B,2021,2
1BI21CS098,B,2021,2
1BI21CS099,B,2021,2
1BI21CS100,B,2021,2
1BI21CS101,B,2021,2
1BI21CS102,B,2021,2
1BI21CS103,B,2021,2
1BI21CS104,B,2021,2
1BI21CS105,B,2021,2
1BI21CS106,B,2021,2
1BI21CS107,B,2021,2
1BI21CS108,B,2021,2
1BI21CS110,B,2021,2
1BI21CS111,B,2021,2
1BI21CS112,B,2021,2
1BI21CS113,B,2021,2
1BI21CS114,B,2021,2
1BI21CS115,B,2021,2
1BI21CS116,B,2021,2
1BI21CS117,B,2021,2
1BI21CS118,B,2021,2
1BI21CS120,B,2021,2
1BI21CS121,B,2021,2
1BI21CS122,B,2021,2
1BI21CS124,B,2021,2
1BI21CS125,B,2021,2
FST2110034,B,2021,2
FST2110035,B,2021,2
FST2110048,B,2021,2
FST2110063,B,2021,2
FST2110266,B,2021,2
FST2110780,B,2021,2
FST2110817,B,2021,2
1BI21CS058,C,2021,2
1BI21CS127,C,2021,2
1BI21CS128,C,2021,2
1BI21CS129,C,2021,2
1BI21CS130,C,2021,2
1BI21CS132,C,2021,2
1BI21CS133,C,2021,2
1BI21CS134,C,2021,2
1BI21CS135,C,2021,2
1BI21CS136,C,2021,2
1BI21CS139,C,2021,2
1BI21CS140,C,2021,2
1BI21CS141,C,2021,2
1BI21CS142,C,2021,2
1BI21CS143,C,2021,2
1BI21CS145,C,2021,2
1BI21CS146,C,2021,2
1BI21CS147,C,2021,2
1BI21CS148,C,2021,2
1BI21CS149,C,2021,2
1BI21CS150,C,2021,2
1BI21CS151,C,2021,2
1BI21CS153,C,2021,2
1BI21CS154,C,2021,2
1BI21CS156,C,2021,2
1BI21CS157,C,2021,2
1BI21CS158,C,2021,2
1BI21CS159,C,2021,2
1BI21CS160,C,2021,2
1BI21CS161,C,2021,2
1BI21CS162,C,2021,2
1BI21CS163,C,2021,2
1BI21CS164,C,2021,2
1BI21CS165,C,2021,2
1BI21CS166,C,2021,2
1BI21CS167,C,2021,2
1BI21CS168,C,2021,2
1BI21CS169,C,2021,2
1BI21CS170,C,2021,2
1BI21CS171,C,2021,2
1BI21CS172,C,2021,2
1BI21CS173,C,2021,2
1BI21CS175,C,2021,2
1BI21CS176,C,2021,2
FST2110288,C,2021,2
FST2110292,C,2021,2
FST2110343,C,2021,2
FST2110349,C,2021,2
FST2110546,C,2021,2
FST2110603,C,2021,2
FST2110605,C,2021,2
1BI21AI029,D,2021,2
1BI21CS008,D,2021,2
1BI21CS022,D,2021,2
1BI21CS038,D,2021,2
1BI21CS060,D,2021,2
1BI21CS061,D,2021,2
1BI21CS075,D,2021,2
1BI21CS081,D,2021,2
1BI21CS119,D,2021,2
1BI21CS126,D,2021,2
FST2110002,D,2021,2
FST2110004,D,2021,2
FST2110007,D,2021,2
FST2110009,D,2021,2
FST2110010,D,2021,2
FST2110026,D,2021,2
FST2110027,D,2021,2
FST2110055,D,2021,2
FST2110930,D,2021,2
