USN,Section,Batch,Sem
1BI20CS001,A,2020,2
1BI20CS002,A,2020,2
1BI20CS003,A,2020,2
1BI20CS004,A,2020,2
1BI20CS005,A,2020,2
1BI20CS009,A,2020,2
1BI20CS010,A,2020,2
1BI20CS013,A,2020,2
1BI20CS014,A,2020,2
1BI20CS016,A,2020,2
1BI20CS017,A,2020,2
1BI20CS018,A,2020,2
1BI20CS020,A,2020,2
1BI20CS021,A,2020,2
1BI20CS022,A,2020,2
1BI20CS024,A,2020,2
1BI20CS025,A,2020,2
1BI20CS026,A,2020,2
1BI20CS027,A,2020,2
1BI20CS031,A,2020,2
1BI20CS032,A,2020,2
1BI20CS034,A,2020,2
1BI20CS035,A,2020,2
1BI20CS037,A,2020,2
1BI20CS038,A,2020,2
1BI20CS039,A,2020,2
1BI20CS040,A,2020,2
1BI20CS042,A,2020,2
1BI20CS043,A,2020,2
1BI20CS045,A,2020,2
1BI20CS046,A,2020,2
1BI20CS047,A,2020,2
1BI20CS048,A,2020,2
1BI20CS049,A,2020,2
1BI20CS050,A,2020,2
1BI20CS051,A,2020,2
1BI20CS052,A,2020,2
1BI20CS054,A,2020,2
1BI20CS055,A,2020,2
1BI20CS056,A,2020,2
1BI20CS057,A,2020,2
1BI20CS059,A,2020,2
1BI20CS061,A,2020,2
1BI20CS062,A,2020,2
1BI20CS063,A,2020,2
1BI20CS064,A,2020,2
1BI20CS066,A,2020,2
1BI20CS067,A,2020,2
1BI20CS068,A,2020,2
1BI20CS070,A,2020,2
1BI20CS074,A,2020,2
1BI20CS076,A,2020,2
1BI20CS080,A,2020,2
1BI20CS081,A,2020,2
1BI20CS082,A,2020,2
1BI20CS083,A,2020,2
1BI20CS085,A,2020,2
1BI20CS086,A,2020,2
1BI20CS087,A,2020,2
1BI20CS088,A,2020,2
1BI20CS091,A,2020,2
1BI20CS092,A,2020,2
1BI20CS093,A,2020,2
1BI20CS094,A,2020,2
1BI20CS007,B,2020,2
1BI20CS011,B,2020,2
1BI20CS023,B,2020,2
1BI20CS028,B,2020,2
1BI20CS029,B,2020,2
1BI20CS030,B,2020,2
1BI20CS041,B,2020,2
1BI20CS053,B,2020,2
1BI20CS058,B,2020,2
1BI20CS060,B,2020,2
1BI20CS065,B,2020,2
1BI20CS073,B,2020,2
1BI20CS075,B,2020,2
1BI20CS077,B,2020,2
1BI20CS078,B,2020,2
1BI20CS079,B,2020,2
1BI20CS084,B,2020,2
1BI20CS089,B,2020,2
1BI20CS090,B,2020,2
1BI20CS096,B,2020,2
1BI20CS097,B,2020,2
1BI20CS098,B,2020,2
1BI20CS099,B,2020,2
1BI20CS101,B,2020,2
1BI20CS102,B,2020,2
1BI20CS103,B,2020,2
1BI20CS104,B,2020,2
1BI20CS106,B,2020,2
1BI20CS107,B,2020,2
1BI20CS108,B,2020,2
1BI20CS109,B,2020,2
1BI20CS110,B,2020,2
1BI20CS111,B,2020,2
1BI20CS113,B,2020,2
1BI20CS114,B,2020,2
1BI20CS115,B,2020,2
1BI20CS116,B,2020,2
1BI20CS117,B,2020,2
1BI20CS118,B,2020,2
1BI20CS119,B,2020,2
1BI20CS120,B,2020,2
1BI20CS121,B,2020,2
1BI20CS122,B,2020,2
1BI20CS124,B,2020,2
1BI20CS127,B,2020,2
1BI20CS128,B,2020,2
1BI20CS129,B,2020,2
1BI20CS130,B,2020,2
1BI20CS131,B,2020,2
1BI20CS132,B,2020,2
1BI20CS133,B,2020,2
1BI20CS137,B,2020,2
1BI20CS138,B,2020,2
1BI20CS139,B,2020,2
1BI20CS140,B,2020,2
1BI20CS142,B,2020,2
1BI20CS143,B,2020,2
1BI20CS146,B,2020,2
1BI20CS147,B,2020,2
1BI20CS148,B,2020,2
1BI20CS149,B,2020,2
1BI20CS151,B,2020,2
1BI20CS153,B,2020,2
1BI20CS156,B,2020,2
1BI20CS186,B,2020,2
1BI20CS006,C,2020,2
1BI20CS008,C,2020,2
1BI20CS015,C,2020,2
1BI20CS019,C,2020,2
1BI20CS033,C,2020,2
1BI20CS036,C,2020,2
1BI20CS044,C,2020,2
1BI20CS069,C,2020,2
1BI20CS071,C,2020,2
1BI20CS072,C,2020,2
1BI20CS095,C,2020,2
1BI20CS100,C,2020,2
1BI20CS105,C,2020,2
1BI20CS112,C,2020,2
1BI20CS123,C,2020,2
1BI20CS125,C,2020,2
1BI20CS126,C,2020,2
1BI20CS134,C,2020,2
1BI20CS135,C,2020,2
1BI20CS136,C,2020,2
1BI20CS141,C,2020,2
1BI20CS144,C,2020,2
1BI20CS145,C,2020,2
1BI20CS150,C,2020,2
1BI20CS152,C,2020,2
1BI20CS154,C,2020,2
1BI20CS155,C,2020,2
1BI20CS157,C,2020,2
1BI20CS158,C,2020,2
1BI20CS159,C,2020,2
1BI20CS160,C,2020,2
1BI20CS161,C,2020,2
1BI20CS163,C,2020,2
1BI20CS164,C,2020,2
1BI20CS165,C,2020,2
1BI20CS166,C,2020,2
1BI20CS167,C,2020,2
1BI20CS168,C,2020,2
1BI20CS169,C,2020,2
1BI20CS170,C,2020,2
1BI20CS171,C,2020,2
1BI20CS172,C,2020,2
1BI20CS173,C,2020,2
1BI20CS174,C,2020,2
1BI20CS175,C,2020,2
1BI20CS176,C,2020,2
1BI20CS177,C,2020,2
1BI20CS178,C,2020,2
1BI20CS179,C,2020,2
1BI20CS180,C,2020,2
1BI20CS181,C,2020,2
1BI20CS182,C,2020,2
1BI20CS183,C,2020,2
1BI20CS184,C,2020,2
1BI20CS185,C,2020,2
1BI20CS187,C,2020,2
1BI20CS188,C,2020,2
1BI20CS189,C,2020,2
1BI20CS190,C,2020,2
1BI20CS191,C,2020,2
1BI20CS192,C,2020,2
1BI20CS193,C,2020,2
1BI20CS194,C,2020,2
1BI20CS195,C,2020,2
1BI20CS197,C,2020,3
1BI20CS199,A,2020,3
1BI20CS198,A,2020,3
##1BI21CS,B,2020,3
1BI21CS406,B,2020,3
1BI21CS415,B,2020,3
1BI21CS417,B,2020,3
1BI21CS401,B,2020,3
1BI21CS407,B,2020,3
1BI21CS410,A,2020,3
1BI21CS414,A,2020,3
1BI21CS405,A,2020,3
1BI21CS402,A,2020,3
1BI21CS409,A,2020,3
1BI21CS413,A,2020,3
1BI21CS411,A,2020,3
1BI20IS002,C,2020,3
1BI20EC033,C,2020,3
1BI21CS403,C,2020,3
1BI21CS412,C,2020,3
1BI21CS404,C,2020,3
1BI21CS408,C,2020,3
1BI21CS400,C,2020,3
1BI21CS416,C,2020,3


1BI20CS083,A,2020,3
1BI20CS196,C,2020,3
1BI20CS119,B,2020,3
1BI20CS128,B,2020,3
1BI20CS131,B,2020,3
1BI20CS137,B,2020,3
